"RegionName","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10"
"Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,700,650,750,762.5,772.5,795,750,775,837.5,800,772.5,750,775,800,800,800,800,800,800,900,900,985,900,1050,975,850,887.5,850,900,895,900,950,950,912.5,975,1000,925,962.5,950,950,927.5,950,950,1000,1050,1050,1050,1000,977.5,980,950,900,850,900,950,975,1050,1025,1000,995,1000,1000,950
"Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1897.5,1800,1900,1945,1934,1900,1945,1985,1992.5,2061,1999,1975,1897.5,2000
"Irvine","CA","Los Angeles-Long Beach-Anaheim","Orange County",31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4849.5,5100,5200,5000,5000,5200,5197.5,5250,5250,5450,5600,5890,5850,6000,6000,5800,5500,5500,5500,5350,5800,5800,5825,5500,5500,5500,5850,6000,5500,6100,6000,6050,6400,6400
"Chesapeake","VA","Virginia Beach-Norfolk-Newport News","Chesapeake City",32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.5,2497.5,2495,2400,2295,2295,2275,2225,2362.5,2375,2400,2400,2400,2445,2495,2500,2500,2500
"Rochester","NY","Rochester","Monroe County",33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225,1100,1175,1095,1000,997.5,995,1050,1175,1200,1240,1200,1172.5,1047.5,1075,1050
"Yonkers","NY","New York-Newark-Jersey City","Westchester County",34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2249.5,2125,2350,2300,2400,2500,2450,2450,2500,2400,2300,2300,2300,2325,2300,2400,2400,2400,2200,2200,2200,2200,2183.5,2200,2300,2300,2400,2400,2400,2283,2400,2400
"Providence","RI","Providence-Warwick","Providence County",35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125,2225,2112.5,2125,2047.5,2212.5,1875,1800,2100,2250,2387.5,2300,2212.5,2400,2400,2350,2200,2200,2050,1800,1975,2200
"Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,2825,2750,2750,2865,2875,2900,2800,2800,2800,2800,2800,2800,2850,2672.5,2625,2747.5,3100,3200,2950,3000,2800,2950,2800,2800,2650,2650,2725,2925,2900,2800,2974.5,3000,3000
"Cumming","GA","Atlanta-Sandy Springs-Roswell","Forsyth County",37,,,,,,,,,,,,,,,,,,,,,,,,,,,2150,2150,2040,1975,2050,1950,2200,1995,1962.5,1962.5,1862.5,1775,1695,1800,1995,2200,2325,2250,2200,2200,2200,2200,2200,2200,1995,2175,2150,2300,2500,2250,2200,2095,2100,2197.5,2200,2100,2195,2200,2300,2450,2500,2400,2200,2375,2300,2275,2150,2100,2200,2250,2350,2350,2550,2487.5,2375,2300,2350,2300,2195,2195,2100,2250,2300,2300,2350,2200,2200,2200,2325,2225,2200,2305,2400,2450,2372.5,2450,2400,2470,2300,2250
"Frisco","TX","Dallas-Fort Worth-Arlington","Collin County",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2650,2595,2595,2750,2750,2750,2775,2925,2972.5,2999.5,2995,2950,2897.5,2800,2875,2797.5,2700,2872.5,2825,2947.5,2800,2897.5,3150,3000,2950,2835,2750,2795,3049.5,3100,3275,2995,2900,2797.5,2800,2950
