"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2019-10-31,"Modesto","CA","Modesto","Stanislaus County",84,1507.55,-0.0015,0.0193,0.0271,75970
2019-10-31,"Reno","NV","Reno","Washoe County",85,1608.19,0.0156,0.0255,0.0363,96618
2019-10-31,"Spokane","WA","Spokane-Spokane Valley","Spokane County",86,1265.6,0.015,0.0235,0.0454,91618
2019-10-31,"Chandler","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",87,1483.3,0.0166,0.0353,0.0658,105354
2019-10-31,"Lubbock","TX","Lubbock","Lubbock County",88,980.41,-0.0196,-0.0211,-0.027,84781
2019-10-31,"Jersey City","NJ","New York-Newark-Jersey City","Hudson County",89,2176.19,0.0106,0.0267,0.0417,40481
2019-10-31,"Buffalo","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",90,952.47,-0.0103,-0.0088,-0.0146,76734
2019-10-31,"Mobile","AL","Mobile","Mobile County",91,916.7,0.0136,0.0305,-0.0006,87938
2019-10-31,"Hialeah","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",92,1797.79,0.0139,0.0158,0.0004,65366
2019-10-31,"San Bernardino","CA","Riverside-San Bernardino-Ontario","San Bernardino County",93,1674.4,0.0045,0.0156,0.0475,56692
2019-10-31,"Chula Vista","CA","San Diego-Carlsbad","San Diego County",94,2431.94,0.0111,0.0224,0.0557,65431
2019-10-31,"Saint Petersburg","FL","Tampa-St. Petersburg-Clearwater","Pinellas County",95,1457.99,0.0093,0.0184,0.0197,115485
2019-10-31,"Pensacola","FL","Pensacola-Ferry Pass-Brent","Escambia County",96,1130.79,0.0225,0.0392,0.0482,101833
2019-10-31,"Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",97,1431.98,0.011,0.0181,-0.0045,89375
2019-10-31,"Madison","WI","Madison","Dane County",98,1381.37,0.0107,0.0108,0.0077,69189
2019-10-31,"Winston-Salem","NC","Winston-Salem","Forsyth County",99,958.98,0.0224,0.0359,0.0564,87516
2019-10-31,"Norfolk","VA","Virginia Beach-Norfolk-Newport News","Norfolk City",100,1224.96,0.0098,0.0141,0.0096,71101
